[2026-03-01 04:43:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:43:59] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:46:54] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:46:55] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:46:59] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:47:06] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:47:07] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:47:07] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:47:36] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:47:46] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:47:57] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:48:31] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:48:40] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:49:59] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:50:50] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:53:18] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:53:38] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:54:10] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:54:40] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:54:43] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:56:02] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:58:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:59:29] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:04:59] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:05:42] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:07:06] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:07:10] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:07:46] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:08:01] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:08:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:08:28] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:08:46] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:09:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:09:23] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:09:23] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:09:24] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 05:09:30] toggle_play_pause called | allow_video_detach=False | detached=False
